user_id,session_type,status,condition,start_time,end_time,duration_seconds,total_messages,user_messages,assistant_messages,quiz_score,quiz_total,quiz_percentage,quiz_completed_time,survey_completed_time,avg_difficulty_correct,avg_difficulty_incorrect
0MEmJS2j0ee4Vi2dqBG5gpe14lf1,arraylist,not_started,,,,,,,,,,,,,,
0MEmJS2j0ee4Vi2dqBG5gpe14lf1,recursion,not_started,,,,,,,,,,,,,,
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,arraylist,completed,3.0,1769194844.0524306,1769195853.1169438,1009.0644991397858,37.0,18.0,19.0,5.0,5.0,100.0,1769195818.9687495,1769195852.9840035,2.4,0.0
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,recursion,completed,3.0,1769799478.0940514,1769800447.3697228,969.2756433486938,47.0,24.0,23.0,3.0,5.0,60.0,1769800414.2466924,1769800447.2249959,2.33,2.0
2cjI20Jq7PYlvEozFwC9A1koWYG3,arraylist,completed,2.0,1769190870.8801174,1769191518.267893,647.3877642154694,17.0,8.0,9.0,5.0,5.0,100.0,1769191399.3823273,1769191518.1478417,2.4,0.0
2cjI20Jq7PYlvEozFwC9A1koWYG3,recursion,completed,2.0,1769795651.1860108,1769796317.8896778,666.7036581039429,23.0,11.0,12.0,4.0,5.0,80.0,1769796255.1968892,1769796317.762329,2.0,3.0
2gu7Ew3WFuME2poY733nrLDG6oh2,arraylist,completed,3.0,1769187832.5621161,1769188814.1543639,981.5922338962555,65.0,32.0,33.0,2.0,5.0,40.0,1769188792.445094,1769188813.9964342,3.5,1.67
2gu7Ew3WFuME2poY733nrLDG6oh2,recursion,completed,3.0,1769792322.0915885,1769793302.108295,980.0166962146759,39.0,19.0,20.0,3.0,5.0,60.0,1769793273.0497572,1769793301.9643757,2.0,2.5
2vunfpisHmM5VbtDlhDmIwc3xU32,arraylist,completed,3.0,1769194877.310083,1769196027.478929,1150.168838262558,23.0,11.0,12.0,2.0,5.0,40.0,1769195955.2404938,1769196027.285685,2.0,2.67
2vunfpisHmM5VbtDlhDmIwc3xU32,recursion,completed,3.0,1769799599.6651595,1769800809.054815,1209.3896465301514,17.0,8.0,9.0,3.0,5.0,60.0,1769800724.2236536,1769800808.7949276,2.0,2.5
3UffSYWwSYT49RFDHcvUB5KtoXi1,arraylist,completed,1.0,1769187205.5422304,1769187553.887707,348.3454678058624,15.0,7.0,8.0,1.0,5.0,20.0,1769187498.039738,1769187553.5280979,1.0,2.75
3UffSYWwSYT49RFDHcvUB5KtoXi1,recursion,completed,1.0,1769792341.6881776,1769792857.1775882,515.4893977642059,27.0,13.0,14.0,4.0,5.0,80.0,1769792821.2216046,1769792857.0398233,2.0,3.0
4fkXnQD0eogEhmMR7gILBGmVTnN2,arraylist,completed,1.0,1769799521.2152073,1769800150.498277,629.2830605506897,21.0,10.0,11.0,3.0,5.0,60.0,1769800107.334286,1769800150.3628826,2.0,3.0
4fkXnQD0eogEhmMR7gILBGmVTnN2,recursion,completed,1.0,1769800157.3221836,1769800239.5817282,82.25953841209412,1.0,0.0,1.0,3.0,5.0,60.0,1769800218.3931105,1769800239.4366477,2.0,2.5
4j3q4ExCuPWAUynzXiAlr6ucB8U2,arraylist,completed,1.0,1769187448.0150037,1769187936.2317562,488.21674132347107,21.0,10.0,11.0,4.0,5.0,80.0,1769187848.4934773,1769187936.1129246,2.5,2.0
4j3q4ExCuPWAUynzXiAlr6ucB8U2,recursion,not_started,,,,,,,,,,,,,,
8FArll2EzIVIkMtZUzAz1TTYsE42,arraylist,completed,3.0,1769190898.015399,1769191929.4761791,1031.4607365131378,17.0,8.0,9.0,3.0,5.0,60.0,1769191877.8728676,1769191929.3153768,2.67,2.0
8FArll2EzIVIkMtZUzAz1TTYsE42,recursion,completed,3.0,1769795718.102255,1769796684.4792182,966.3769509792328,39.0,19.0,20.0,1.0,5.0,20.0,1769796658.9956634,1769796684.3114917,3.0,2.0
8WXvj2Se6NWVg3o0t5LWRcdtZR23,arraylist,completed,3.0,1769190897.9543483,1769191999.1780808,1101.2237243652344,11.0,5.0,6.0,5.0,5.0,100.0,1769191885.759025,1769191999.0268047,2.4,0.0
8WXvj2Se6NWVg3o0t5LWRcdtZR23,recursion,not_started,,,,,,,,,,,,,,
8fG4SHm1oeaJFrWvzV3YHsSYlJf2,arraylist,completed,1.0,1769191383.3615773,1769191820.0587916,436.6972062587738,19.0,9.0,10.0,5.0,5.0,100.0,1769191742.8586974,1769191819.9283733,2.4,0.0
8fG4SHm1oeaJFrWvzV3YHsSYlJf2,recursion,not_started,,,,,,,,,,,,,,
A5Y2HAkGMmenqS1vZuPyOg721Ab2,arraylist,completed,3.0,1769796648.5830514,1769797605.315667,956.7325880527496,9.0,4.0,5.0,2.0,5.0,40.0,1769797577.5707693,1769797605.1697667,2.0,2.67
A5Y2HAkGMmenqS1vZuPyOg721Ab2,recursion,completed,3.0,1769797610.6218646,1769799247.5525773,1636.93070602417,5.0,2.0,3.0,2.0,5.0,40.0,1769799222.2423959,1769799247.407202,2.5,2.0
Ap3pD2rpHsQCNW7UJLOZxuvXmtR2,arraylist,completed,2.0,1769187150.44492,1769187753.7237504,603.2788226604462,17.0,8.0,9.0,4.0,5.0,80.0,1769187693.688567,1769187753.6013699,2.25,3.0
Ap3pD2rpHsQCNW7UJLOZxuvXmtR2,recursion,completed,2.0,1769792354.659986,1769792878.0927632,523.432765007019,19.0,9.0,10.0,5.0,5.0,100.0,1769792825.2678382,1769792877.9674473,2.2,0.0
Cw1J6bytlETCGP7iW7vknzWZwon1,arraylist,completed,1.0,1769194632.1481986,1769195066.0101879,433.8619737625122,15.0,7.0,8.0,4.0,5.0,80.0,1769194991.4472942,1769195065.8745167,2.5,2.0
Cw1J6bytlETCGP7iW7vknzWZwon1,recursion,completed,1.0,1769799573.0026872,1769799948.1891758,375.1864778995514,27.0,13.0,14.0,4.0,5.0,80.0,1769799910.3666859,1769799948.050523,2.0,3.0
Cy1bhEOuQfMnlNyCLBPA7vkrRmJ3,arraylist,completed,1.0,1769190921.452619,1769191602.9985843,681.5459547042847,17.0,8.0,9.0,4.0,5.0,80.0,1769191570.7113109,1769191602.8629715,2.5,2.0
Cy1bhEOuQfMnlNyCLBPA7vkrRmJ3,recursion,completed,1.0,1769795680.2789989,1769796143.964551,463.68554401397705,19.0,9.0,10.0,5.0,5.0,100.0,1769796111.3816555,1769796143.7856553,2.2,0.0
Drr17Zvgk1OAYiRiO5HB65aVP223,arraylist,completed,3.0,1769187756.1193051,1769188816.360792,1060.2414772510529,33.0,16.0,17.0,3.0,5.0,60.0,1769188716.25392,1769188816.2196116,2.33,2.5
Drr17Zvgk1OAYiRiO5HB65aVP223,recursion,not_started,,,,,,,,,,,,,,
EFwq3AOMH7WLfBMBk8sUGzWOpo13,arraylist,completed,3.0,1769194649.789629,1769195586.7827582,936.9931128025055,63.0,34.0,29.0,2.0,5.0,40.0,1769195566.4254222,1769195586.6353145,2.0,2.67
EFwq3AOMH7WLfBMBk8sUGzWOpo13,recursion,completed,3.0,1769799499.0371075,1769800432.3429072,933.3057627677917,108.0,56.0,52.0,0.0,5.0,0.0,1769800416.3833876,1769800432.206289,0.0,2.2
FBD4nXyHiTMSMBoY3sAwLJrAvzo2,arraylist,completed,1.0,1769126489.385165,1769126947.0169148,457.63172578811646,25.0,12.0,13.0,5.0,5.0,100.0,1769126911.466975,1769126946.85201,2.4,0.0
FBD4nXyHiTMSMBoY3sAwLJrAvzo2,recursion,in_progress,1.0,1769289739.939472,,,,,,5.0,5.0,100.0,1769290752.979286,,2.2,0.0
Ffy5aWTnDLO2hBu1SSV3TG1ElgN2,arraylist,completed,1.0,1769187166.8812432,1769187955.27308,788.3918261528015,20.0,10.0,10.0,3.0,5.0,60.0,1769187918.9346201,1769187955.166067,2.33,2.5
Ffy5aWTnDLO2hBu1SSV3TG1ElgN2,recursion,completed,1.0,1769792487.3890958,1769793066.0094519,578.620347738266,19.0,9.0,10.0,4.0,5.0,80.0,1769793030.5539005,1769793065.885585,2.25,2.0
GJDwIBFMZqQZs7zM0dOjWhLG0hI2,arraylist,completed,3.0,1769194616.0198154,1769195688.146698,1072.1268730163574,31.0,15.0,16.0,4.0,5.0,80.0,1769195641.5348132,1769195688.010373,2.5,2.0
GJDwIBFMZqQZs7zM0dOjWhLG0hI2,recursion,not_started,,,,,,,,,,,,,,
GvnIW82Cgrf3LJBW6p81W5L8LnD3,arraylist,completed,2.0,1769187145.0333362,1769187840.0605378,695.0271909236908,23.0,11.0,12.0,4.0,5.0,80.0,1769187788.2309988,1769187838.7388103,2.5,2.0
GvnIW82Cgrf3LJBW6p81W5L8LnD3,recursion,completed,2.0,1769792344.6129768,1769793022.0974917,677.4845061302185,21.0,10.0,11.0,5.0,5.0,100.0,1769792978.0446095,1769793021.9719677,2.2,0.0
HQk1KKqGojXqkWFqQvcsz46SW2v2,arraylist,completed,1.0,1769190883.1288543,1769191277.241224,394.1123585700989,17.0,8.0,9.0,3.0,5.0,60.0,1769191228.7836711,1769191277.1162684,2.33,2.5
HQk1KKqGojXqkWFqQvcsz46SW2v2,recursion,completed,1.0,1769795674.5686526,1769796381.9927676,707.4241054058075,25.0,12.0,13.0,4.0,5.0,80.0,1769796319.846861,1769796381.854179,2.25,2.0
KW6di9CW3cZQz1cvFlBzH6caubz1,arraylist,completed,1.0,1769194661.2860234,1769195086.5690525,425.2830219268799,19.0,9.0,10.0,2.0,5.0,40.0,1769195052.291722,1769195086.4347138,3.0,2.0
KW6di9CW3cZQz1cvFlBzH6caubz1,recursion,completed,1.0,1769799495.2235286,1769799956.951404,461.7278652191162,19.0,9.0,10.0,3.0,5.0,60.0,1769799912.7636209,1769799956.800451,2.0,2.5
MO1hlfN2dTWzRqz7yqvv5obstej1,arraylist,completed,3.0,1769187117.461813,1769188150.1492379,1032.6874148845673,15.0,7.0,8.0,4.0,5.0,80.0,1769188090.7345436,1769188150.0097709,2.5,2.0
MO1hlfN2dTWzRqz7yqvv5obstej1,recursion,completed,3.0,1769792338.575975,1769793354.5931222,1016.0171363353729,24.0,12.0,12.0,5.0,5.0,100.0,1769793300.6818213,1769793354.460679,2.2,0.0
ODtPgaYltnMjEuRhGhqPzZyix2c2,arraylist,completed,2.0,1769190916.5795085,1769191502.6396883,586.0601630210876,49.0,24.0,25.0,2.0,5.0,40.0,1769191456.9461133,1769191502.5116389,2.5,2.33
ODtPgaYltnMjEuRhGhqPzZyix2c2,recursion,completed,2.0,1769795665.0271428,1769796124.2679143,459.2407605648041,31.0,15.0,16.0,4.0,5.0,80.0,1769796094.6920362,1769796124.1236393,2.0,3.0
Q5gYbivZ5ZZ5YOEZoEeLOBp3cPO2,arraylist,completed,1.0,1769187469.6422546,1769187655.5066986,185.86443376541138,15.0,7.0,8.0,2.0,5.0,40.0,1769187620.426006,1769187655.3912966,2.5,2.33
Q5gYbivZ5ZZ5YOEZoEeLOBp3cPO2,recursion,completed,1.0,1769792339.4684265,1769792657.8379428,318.3695058822632,19.0,9.0,10.0,1.0,5.0,20.0,1769792582.5334332,1769792657.7098916,3.0,2.0
RLFI1VvVR2UDVls6U6mwN7264Ij2,arraylist,completed,1.0,1769194670.3415265,1769195191.943646,521.6021120548248,18.0,9.0,9.0,3.0,5.0,60.0,1769195151.202353,1769195191.8267384,2.33,2.5
RLFI1VvVR2UDVls6U6mwN7264Ij2,recursion,completed,1.0,1769799504.0962253,1769799981.6181738,477.5219407081604,21.0,10.0,11.0,4.0,5.0,80.0,1769799929.2888563,1769799981.4870818,2.0,3.0
SiVe6At6b4YNYAT8YLTp2SjJH692,arraylist,completed,2.0,1769190854.1700354,1769191820.496556,966.3265058994293,31.0,15.0,16.0,3.0,5.0,60.0,1769191747.76611,1769191820.3086402,2.33,2.5
SiVe6At6b4YNYAT8YLTp2SjJH692,recursion,not_started,,,,,,,,,,,,,,
TM0zbujbRChHnBzPF9TOb4MpIyt2,arraylist,completed,3.0,1769194704.905344,1769195669.6672182,964.7618644237518,29.0,14.0,15.0,0.0,5.0,0.0,1769195649.9180503,1769195669.5298493,0.0,2.4
TM0zbujbRChHnBzPF9TOb4MpIyt2,recursion,completed,3.0,1769799543.2294722,1769800483.7797117,940.5502319335938,23.0,11.0,12.0,2.0,5.0,40.0,1769800466.583647,1769800483.641934,1.5,2.67
UEFc4hISm2WWn6EhHFmCsW7MnPI3,arraylist,completed,2.0,1769187441.917009,1769187912.5366118,470.61959290504456,17.0,8.0,9.0,4.0,5.0,80.0,1769187749.139477,1769187912.3983347,2.5,2.0
UEFc4hISm2WWn6EhHFmCsW7MnPI3,recursion,completed,2.0,1769792386.278385,1769793141.8998625,755.6214680671692,25.0,12.0,13.0,5.0,5.0,100.0,1769793078.6992114,1769793141.769317,2.2,0.0
UT2XX3w08wPgt6eIvWt8rzWriWF3,arraylist,completed,1.0,1769187457.7438278,1769187933.6663868,475.92254638671875,25.0,12.0,13.0,3.0,5.0,60.0,1769187867.298461,1769187933.5086896,2.67,2.0
UT2XX3w08wPgt6eIvWt8rzWriWF3,recursion,completed,1.0,1769792379.379765,1769792966.1684554,586.7886817455292,23.0,11.0,12.0,3.0,5.0,60.0,1769792919.740399,1769792966.0337367,2.0,2.5
VfueDMfg7xVn4MXINPaKd1pO50N2,arraylist,completed,1.0,1769194685.9132392,1769195590.696361,904.7831144332886,17.0,8.0,9.0,2.0,5.0,40.0,1769195270.2659593,1769195590.5714555,3.0,2.0
VfueDMfg7xVn4MXINPaKd1pO50N2,recursion,completed,1.0,1769799597.7329726,1769800299.040406,701.3074245452881,21.0,10.0,11.0,4.0,5.0,80.0,1769800208.0375147,1769800298.9096746,2.0,3.0
WFz2qbVG8Ub5SFyZTwzuybgZFMJ2,arraylist,completed,1.0,1769187189.4885569,1769187600.4787745,410.9902102947235,15.0,7.0,8.0,5.0,5.0,100.0,1769187555.7893946,1769187600.3252945,2.4,0.0
WFz2qbVG8Ub5SFyZTwzuybgZFMJ2,recursion,completed,1.0,1769792347.3015938,1769792695.8482106,348.5466070175171,19.0,9.0,10.0,5.0,5.0,100.0,1769792639.26354,1769792695.7269452,2.2,0.0
X8nQivwspCSJr5An9iq1trCe7KR2,arraylist,completed,2.0,1769190876.5760133,1769191460.3660452,583.7900195121765,26.0,13.0,13.0,4.0,5.0,80.0,1769191395.9359765,1769191460.2305443,2.25,3.0
X8nQivwspCSJr5An9iq1trCe7KR2,recursion,completed,2.0,1769795674.7129495,1769796117.328512,442.61555457115173,21.0,10.0,11.0,5.0,5.0,100.0,1769796081.7742639,1769796117.1817796,2.2,0.0
Yxs6ep3KjPYkHdAqKahkafkUHZs1,arraylist,completed,1.0,1769115578.977061,1769116596.9524317,1017.9753589630127,27.0,13.0,14.0,5.0,5.0,100.0,1769116548.4442217,1769116596.8076167,2.4,0.0
Yxs6ep3KjPYkHdAqKahkafkUHZs1,recursion,not_started,,,,,,,,,,,,,,
