user_id,session_type,status,condition,start_time,end_time,duration_seconds,total_messages,user_messages,assistant_messages,quiz_score,quiz_total,quiz_percentage,quiz_completed_time,survey_completed_time,avg_response_time,median_response_time,std_response_time,min_response_time,max_response_time,rapid_response_count,rapid_response_pct,has_both,avg_difficulty_correct,avg_difficulty_incorrect
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,arraylist,completed,3.0,1769194844.0524306,1769195853.1169438,1009.0644991397858,37.0,18.0,19.0,5.0,5.0,100.0,1769195818.9687495,1769195852.9840035,37.02133415804969,26.266254663467407,22.276395574711227,15.741244077682495,98.22584891319275,0.0,0.0,True,2.2,
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,recursion,completed,3.0,1769799478.0940514,1769800447.3697228,969.2756433486938,47.0,24.0,23.0,3.0,5.0,60.0,1769800414.2466924,1769800447.224996,28.23135433594386,23.446072220802307,18.58782249719138,6.089680433273315,84.87759160995483,2.0,0.08333333333333333,True,2.3333333333333335,1.5
2cjI20Jq7PYlvEozFwC9A1koWYG3,arraylist,completed,2.0,1769190870.8801174,1769191518.267893,647.3877642154694,17.0,8.0,9.0,5.0,5.0,100.0,1769191399.3823273,1769191518.1478417,54.091445952653885,35.90953207015991,46.31326951662405,12.320833206176758,148.13200163841248,0.0,0.0,True,2.2,
2cjI20Jq7PYlvEozFwC9A1koWYG3,recursion,completed,2.0,1769795651.1860108,1769796317.8896778,666.7036581039429,23.0,11.0,12.0,4.0,5.0,80.0,1769796255.1968892,1769796317.762329,48.660197734832764,31.06468391418457,38.848968588756094,5.8213629722595215,118.53872513771057,1.0,0.09090909090909091,True,1.75,3.0
2gu7Ew3WFuME2poY733nrLDG6oh2,arraylist,completed,3.0,1769187832.562116,1769188814.154364,981.5922338962556,65.0,32.0,33.0,2.0,5.0,40.0,1769188792.445094,1769188813.9964342,21.850887157022953,17.835211277008057,17.53727451406591,2.8207905292510986,69.04859685897827,9.0,0.28125,True,3.0,1.6666666666666667
2gu7Ew3WFuME2poY733nrLDG6oh2,recursion,completed,3.0,1769792322.0915885,1769793302.108295,980.016696214676,39.0,19.0,20.0,3.0,5.0,60.0,1769793273.0497572,1769793301.9643755,37.187306680177386,32.50926923751831,23.58247569847304,8.740583658218384,84.70428562164307,2.0,0.10526315789473684,True,2.0,2.0
2vunfpisHmM5VbtDlhDmIwc3xU32,arraylist,completed,3.0,1769194877.310083,1769196027.478929,1150.168838262558,23.0,11.0,12.0,2.0,5.0,40.0,1769195955.2404938,1769196027.285685,63.23319989984686,53.906437397003174,34.5154851588433,13.634731531143188,114.56632018089294,0.0,0.0,True,1.5,2.6666666666666665
2vunfpisHmM5VbtDlhDmIwc3xU32,recursion,completed,3.0,1769799599.6651597,1769800809.054815,1209.3896465301514,17.0,8.0,9.0,3.0,5.0,60.0,1769800724.2236536,1769800808.7949276,89.12267190217972,106.27149295806885,61.02842953995088,6.102785348892212,170.98126864433289,1.0,0.125,True,2.0,2.0
3UffSYWwSYT49RFDHcvUB5KtoXi1,arraylist,completed,1.0,1769187205.5422304,1769187553.887707,348.3454678058624,15.0,7.0,8.0,1.0,5.0,20.0,1769187498.039738,1769187553.528098,24.747825486319407,16.548508644104004,20.128705721911576,5.641737937927246,63.6269896030426,2.0,0.2857142857142857,True,1.0,2.5
3UffSYWwSYT49RFDHcvUB5KtoXi1,recursion,completed,1.0,1769792341.6881776,1769792857.1775882,515.4893977642059,27.0,13.0,14.0,4.0,5.0,80.0,1769792821.2216046,1769792857.0398233,30.47582044968238,17.577260971069336,28.570470923392126,6.905233860015869,96.62197875976562,2.0,0.15384615384615385,True,1.75,3.0
4fkXnQD0eogEhmMR7gILBGmVTnN2,arraylist,completed,1.0,1769799521.215207,1769800150.498277,629.2830605506897,21.0,10.0,11.0,3.0,5.0,60.0,1769800107.334286,1769800150.3628826,36.91383066177368,30.549713730812073,24.705820362916082,8.93257474899292,71.93875527381897,1.0,0.1,True,1.6666666666666667,3.0
4fkXnQD0eogEhmMR7gILBGmVTnN2,recursion,completed,1.0,1769800157.3221836,1769800239.5817282,82.25953841209412,1.0,0.0,1.0,3.0,5.0,60.0,1769800218.3931105,1769800239.4366477,,,,,,,,True,1.6666666666666667,2.5
4j3q4ExCuPWAUynzXiAlr6ucB8U2,arraylist,completed,1.0,1769187448.0150037,1769187936.2317562,488.216741323471,21.0,10.0,11.0,4.0,5.0,80.0,1769187848.493477,1769187936.1129246,28.987377762794495,27.353855967521667,20.19334910535463,6.9583680629730225,72.03460454940796,2.0,0.2,False,2.25,2.0
8FArll2EzIVIkMtZUzAz1TTYsE42,arraylist,completed,3.0,1769190898.015399,1769191929.4761791,1031.4607365131378,17.0,8.0,9.0,3.0,5.0,60.0,1769191877.8728676,1769191929.3153768,102.9527228474617,91.13916027545929,50.192019489286686,44.30906391143799,197.82692742347717,0.0,0.0,True,2.3333333333333335,2.0
8FArll2EzIVIkMtZUzAz1TTYsE42,recursion,completed,3.0,1769795718.102255,1769796684.4792182,966.3769509792328,39.0,19.0,20.0,1.0,5.0,20.0,1769796658.9956634,1769796684.3114915,34.6065922536348,31.706127405166626,15.161560326726596,14.584502696990967,68.10652661323547,0.0,0.0,True,3.0,1.75
8WXvj2Se6NWVg3o0t5LWRcdtZR23,arraylist,completed,3.0,1769190897.9543483,1769191999.1780808,1101.2237243652344,11.0,5.0,6.0,5.0,5.0,100.0,1769191885.759025,1769191999.0268047,132.77869272232056,122.68424963951111,70.72455238167248,47.02603220939636,243.97353148460388,0.0,0.0,False,2.2,
8fG4SHm1oeaJFrWvzV3YHsSYlJf2,arraylist,completed,1.0,1769191383.3615773,1769191820.0587916,436.6972062587738,19.0,9.0,10.0,5.0,5.0,100.0,1769191742.8586974,1769191819.928373,23.502324369218613,21.53219747543335,14.374730332055858,5.641848802566528,47.390908002853394,2.0,0.2222222222222222,False,2.2,
A5Y2HAkGMmenqS1vZuPyOg721Ab2,arraylist,completed,3.0,1769796648.5830514,1769797605.315667,956.7325880527496,9.0,4.0,5.0,2.0,5.0,40.0,1769797577.5707693,1769797605.169767,134.92152178287506,115.20626223087311,100.52471203319713,46.666393756866455,262.6071689128876,0.0,0.0,True,1.5,2.6666666666666665
