user_id,session_type,engagement,learning_helpfulness,understanding,vs_other_ai,what_liked,would_use_again,what_improve
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,arraylist,Agree,Agree,Agree,Agree,thanks for the other languages,Yes,
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,recursion,Agree,Agree,Strongly Disagree,Disagree,im dumb and dont know what questions to ask,Maybe,
2cjI20Jq7PYlvEozFwC9A1koWYG3,arraylist,Neutral,Disagree,Disagree,Neutral,"It was probably easier than googling? Maybe? It didn't answer half my questions and hallucinated showing me a for-loop that didn't exist in its example. I called it out and it said I was correct but did not provide one, instead shaking it off. Which is fine, it's just confusing.",No,
2cjI20Jq7PYlvEozFwC9A1koWYG3,recursion,Neutral,Agree,Agree,Agree,"Nothing specifically was enjoyable, but I didn't actively hate it.",Maybe,
2gu7Ew3WFuME2poY733nrLDG6oh2,arraylist,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,It knows a lot.,No,
2gu7Ew3WFuME2poY733nrLDG6oh2,recursion,Neutral,Neutral,Neutral,Neutral,"kind of slow, but useful",No,
2vunfpisHmM5VbtDlhDmIwc3xU32,arraylist,Neutral,Neutral,Neutral,Disagree,It gave very clear instructions on what I asked.,Maybe,
2vunfpisHmM5VbtDlhDmIwc3xU32,recursion,Agree,Agree,Agree,Agree,It was easy to use the bot and read the information,Yes,
3UffSYWwSYT49RFDHcvUB5KtoXi1,arraylist,Disagree,Neutral,Agree,Neutral,It was unique.,Maybe,
3UffSYWwSYT49RFDHcvUB5KtoXi1,recursion,Agree,Agree,Neutral,Disagree,I liked how friendly the bot was.,Yes,
4fkXnQD0eogEhmMR7gILBGmVTnN2,arraylist,Neutral,Agree,Neutral,Agree,The AI asking me what I thought in the middle rather than the end,Maybe,
4fkXnQD0eogEhmMR7gILBGmVTnN2,recursion,Neutral,Neutral,Agree,Neutral,The quiz,Maybe,
4j3q4ExCuPWAUynzXiAlr6ucB8U2,arraylist,Agree,Agree,Agree,Disagree,I felt like it created some pretty good examples and process to help understanding it.  ,Maybe,
8FArll2EzIVIkMtZUzAz1TTYsE42,arraylist,Disagree,Disagree,Agree,Neutral,N/A,No,
8FArll2EzIVIkMtZUzAz1TTYsE42,recursion,Disagree,Neutral,Disagree,Neutral,N/A,No,
8WXvj2Se6NWVg3o0t5LWRcdtZR23,arraylist,Agree,Agree,Disagree,Strongly Agree,I liked the fact that if I was confused on something specific I could ask it. However it was difficult knowing what information was the most significant. ,Yes,
8fG4SHm1oeaJFrWvzV3YHsSYlJf2,arraylist,Agree,Agree,Agree,Agree,The way you can be taught by different personas,Yes,
A5Y2HAkGMmenqS1vZuPyOg721Ab2,arraylist,Agree,Agree,Neutral,Neutral,It was helpful and easy.,Yes,
A5Y2HAkGMmenqS1vZuPyOg721Ab2,recursion,Agree,Agree,Neutral,Neutral,It was helpful and easy,Yes,
Ap3pD2rpHsQCNW7UJLOZxuvXmtR2,arraylist,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Was a bit difficult to follow along if you didn't answer the bot correctly,No,
Ap3pD2rpHsQCNW7UJLOZxuvXmtR2,recursion,Neutral,Neutral,Disagree,Agree,The feedback and correction the bot gives,Yes,
Cw1J6bytlETCGP7iW7vknzWZwon1,arraylist,Neutral,Agree,Neutral,Disagree,It was simply written and understandable,Maybe,
Cw1J6bytlETCGP7iW7vknzWZwon1,recursion,Neutral,Agree,Neutral,Neutral,when it showed the code,Maybe,
Cy1bhEOuQfMnlNyCLBPA7vkrRmJ3,arraylist,Agree,Agree,Agree,Agree,good,Yes,
Cy1bhEOuQfMnlNyCLBPA7vkrRmJ3,recursion,Agree,Agree,Strongly Agree,Agree,Very unique,Yes,
Drr17Zvgk1OAYiRiO5HB65aVP223,arraylist,Neutral,Agree,Agree,Neutral,It wouldn't let be access the quiz for some reason after I asked it alot of questions. I had to refresh the page due to an adblocker and didn't save my progress.,Maybe,
EFwq3AOMH7WLfBMBk8sUGzWOpo13,arraylist,Neutral,Neutral,Neutral,Neutral,cool,Maybe,
EFwq3AOMH7WLfBMBk8sUGzWOpo13,recursion,Neutral,Neutral,Neutral,Neutral,.,Maybe,
FBD4nXyHiTMSMBoY3sAwLJrAvzo2,arraylist,Agree,Agree,Agree,Strongly Agree,"This kept building and also asked me to practice, which was better than just reading.",Yes,
Ffy5aWTnDLO2hBu1SSV3TG1ElgN2,arraylist,Strongly Agree,Agree,Agree,Disagree,That i can ask questions ,Yes,
Ffy5aWTnDLO2hBu1SSV3TG1ElgN2,recursion,Agree,Agree,Neutral,Strongly Agree,It was helpful,Maybe,
GJDwIBFMZqQZs7zM0dOjWhLG0hI2,arraylist,Agree,Agree,Disagree,Strongly Agree,it had detailed instructions with a summary at the end.,Yes,
GvnIW82Cgrf3LJBW6p81W5L8LnD3,arraylist,Agree,Neutral,Neutral,Agree,It was in novel experience for me,Maybe,
GvnIW82Cgrf3LJBW6p81W5L8LnD3,recursion,Agree,Agree,Neutral,Neutral,I was fairly engaged with the feedback,Maybe,
HQk1KKqGojXqkWFqQvcsz46SW2v2,arraylist,Neutral,Agree,Neutral,Neutral,That it was a little more tailored to the style of the teacher,Yes,
HQk1KKqGojXqkWFqQvcsz46SW2v2,recursion,Agree,Agree,Agree,Neutral,recursion is a topic that needs some extra care in explanation,Maybe,
KW6di9CW3cZQz1cvFlBzH6caubz1,arraylist,Agree,Agree,Neutral,Agree,Putting it into other terms made it easier to understand,Yes,
KW6di9CW3cZQz1cvFlBzH6caubz1,recursion,Agree,Agree,Agree,Strongly Agree,"Very personal if you don't understand it, it makes sure to explain it well",Yes,
MO1hlfN2dTWzRqz7yqvv5obstej1,arraylist,Disagree,Disagree,Agree,Agree,"at your own pace, and ask what you don't understand",Maybe,
MO1hlfN2dTWzRqz7yqvv5obstej1,recursion,Disagree,Agree,Neutral,Agree,Makes me wait out 15 minutes no matter what,Maybe,
ODtPgaYltnMjEuRhGhqPzZyix2c2,arraylist,Strongly Agree,Agree,Neutral,Agree,It was cool to use ai in this way,Maybe,
ODtPgaYltnMjEuRhGhqPzZyix2c2,recursion,Agree,Agree,Agree,Agree,n/a,Yes,
Q5gYbivZ5ZZ5YOEZoEeLOBp3cPO2,arraylist,Strongly Agree,Agree,Strongly Agree,Strongly Agree,"I liked the examples.  
",Yes,
Q5gYbivZ5ZZ5YOEZoEeLOBp3cPO2,recursion,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree," 
I liked having the ai tool guide me",Yes,
RLFI1VvVR2UDVls6U6mwN7264Ij2,arraylist,Agree,Neutral,Neutral,Agree,The fact that it feels more directly like one on one learning. ,Maybe,
RLFI1VvVR2UDVls6U6mwN7264Ij2,recursion,Agree,Neutral,Disagree,Agree,It is too new and it was too short of a lesson to be able to easily say I would be able to teach someone else. ,Maybe,
SiVe6At6b4YNYAT8YLTp2SjJH692,arraylist,Disagree,Neutral,Strongly Agree,Agree,I liked how simple some of the explanations were and the sample code.,Yes,
TM0zbujbRChHnBzPF9TOb4MpIyt2,arraylist,Neutral,Agree,Strongly Agree,Agree,I liked the examples,Yes,
TM0zbujbRChHnBzPF9TOb4MpIyt2,recursion,Neutral,Neutral,Neutral,Neutral,much,Maybe,
UEFc4hISm2WWn6EhHFmCsW7MnPI3,arraylist,Agree,Agree,Agree,Disagree,The chatbot seemed enthusiastic about my learning.,Yes,
UEFc4hISm2WWn6EhHFmCsW7MnPI3,recursion,Agree,Disagree,Neutral,Disagree,The bot was engaging ,Yes,
